online,max_stack,code_distance,meas_error,physical_error_rate,error_count,run_count,time_run
bool,float64,int64,bool,float64,int64,int64,int64
True,inf,15,True,0.006,1732,1024000,38
True,inf,15,True,0.006,1903,1024000,40
True,inf,15,True,0.006,2026,1024000,42
True,inf,15,True,0.006,2212,1024000,44
True,inf,15,True,0.006,2345,1024000,46
True,inf,15,True,0.006,2525,1024000,48
True,inf,15,True,0.006,2695,1024000,50
True,inf,15,True,0.006,2841,1024000,52
True,inf,15,True,0.006,3033,1024000,54
True,inf,15,True,0.006,3187,1024000,56
True,inf,15,True,0.006,3295,1024000,58
True,inf,15,True,0.006,3485,1024000,60
True,inf,15,True,0.006,3656,1024000,62
True,inf,15,True,0.006,3825,1024000,64
True,inf,15,True,0.006,4036,1024000,66
True,inf,15,True,0.006,4157,1024000,68
True,inf,15,True,0.006,4359,1024000,70
True,inf,15,True,0.006,4449,1024000,72
True,inf,15,True,0.006,4642,1024000,74
True,inf,15,True,0.006,4837,1024000,76
True,inf,15,True,0.006,4973,1024000,78
True,inf,15,True,0.006,5174,1024000,80
True,inf,15,True,0.006,5291,1024000,82
True,inf,15,True,0.006,5513,1024000,84
True,inf,15,True,0.006,5686,1024000,86
True,inf,15,True,0.006,5845,1024000,88
True,inf,15,True,0.006,6047,1024000,90
True,inf,15,True,0.006,6145,1024000,92
True,inf,15,True,0.006,6330,1024000,94
True,inf,15,True,0.006,6515,1024000,96
True,inf,15,True,0.006,6692,1024000,98
True,inf,15,True,0.006,6892,1024000,100
True,inf,15,True,0.006,7083,1024000,102
True,inf,15,True,0.006,7254,1024000,104
True,inf,15,True,0.006,7377,1024000,106
True,inf,15,True,0.006,7552,1024000,108
True,inf,15,True,0.006,7765,1024000,110
True,inf,15,True,0.006,7907,1024000,112
True,inf,15,True,0.006,8054,1024000,114
True,inf,15,True,0.006,8253,1024000,116
True,inf,15,True,0.006,8371,1024000,118
True,inf,15,True,0.006,8552,1024000,120
True,inf,15,True,0.006,8732,1024000,122
True,inf,15,True,0.006,8897,1024000,124
True,inf,15,True,0.006,9092,1024000,126
True,inf,15,True,0.006,9250,1024000,128
True,inf,15,True,0.006,9396,1024000,130
True,inf,15,True,0.006,9607,1024000,132
True,inf,15,True,0.006,9784,1024000,134
True,inf,15,True,0.006,9933,1024000,136
True,inf,15,True,0.006,10103,1024000,138
True,inf,15,True,0.006,10303,1024000,140
True,inf,15,True,0.006,10487,1024000,142
True,inf,15,True,0.006,10645,1024000,144
True,inf,15,True,0.006,10809,1024000,146
True,inf,15,True,0.006,11059,1024000,148
True,inf,15,True,0.006,11136,1024000,150
True,inf,15,True,0.006,11360,1024000,152
True,inf,15,True,0.006,11520,1024000,154
True,inf,15,True,0.006,11699,1024000,156
True,inf,15,True,0.006,11940,1024000,158
True,inf,15,True,0.006,12060,1024000,160
True,inf,15,True,0.006,12171,1024000,162
True,inf,15,True,0.006,12341,1024000,164
True,inf,15,True,0.006,12524,1024000,166
True,inf,15,True,0.006,12686,1024000,168
True,inf,15,True,0.006,12882,1024000,170
True,inf,15,True,0.006,13068,1024000,172
True,inf,15,True,0.006,13240,1024000,174
True,inf,15,True,0.006,13423,1024000,176
True,inf,15,True,0.006,13607,1024000,178
True,inf,15,True,0.006,13738,1024000,180
True,inf,15,True,0.006,13893,1024000,182
True,inf,15,True,0.006,14092,1024000,184
True,inf,15,True,0.006,14231,1024000,186
True,inf,15,True,0.006,14385,1024000,188
True,inf,15,True,0.006,14559,1024000,190
True,inf,15,True,0.006,14763,1024000,192
True,inf,15,True,0.006,14894,1024000,194
True,inf,15,True,0.006,15067,1024000,196
True,inf,15,True,0.006,15305,1024000,198
True,inf,15,True,0.006,15416,1024000,200
True,inf,15,True,0.006,15566,1024000,202
True,inf,15,True,0.006,15693,1024000,204
True,inf,15,True,0.006,15859,1024000,206
True,inf,15,True,0.006,16026,1024000,208
True,inf,15,True,0.006,16196,1024000,210
True,inf,15,True,0.006,16352,1024000,212
True,inf,15,True,0.006,16503,1024000,214
True,inf,15,True,0.006,16714,1024000,216
True,inf,15,True,0.006,16855,1024000,218
True,inf,15,True,0.006,17035,1024000,220
True,inf,15,True,0.006,17198,1024000,222
True,inf,15,True,0.006,17382,1024000,224
True,inf,15,True,0.006,17547,1024000,226
True,inf,15,True,0.006,17717,1024000,228
True,inf,15,True,0.006,17886,1024000,230
True,inf,15,True,0.006,18059,1024000,232
